percent.tidal.range,percent.tidal.range.SIV,Average.Marsh.Age ,Average.Marsh.Age.SIV ,Percent.Marsh.within.500.or.200,Percent.Marsh.within.500.or.200.SIV,Percent.Marsh.Shoreward.Edge.with.Ecotone.Transition,Percent.Marsh.Shoreward.Edge.with.Ecotone.Transition.SIV
0,0,0,0.025,0,0.5,0,0.5
20,0.025,2.5,0.3,100,1,15,0.8
40,0.1,5,0.6,,,30,0.95
50,0.2,10,0.8,,,60,1
60,0.55,20,0.95,,,100,1
70,0.9,30,0.975,,,,
80,0.975,40,1,,,,
90,1,100,1,,,,
100,1,,,,,,
