Alternatives,SIV1,SIV2,SIV3,SIV4
FWOP,0,0,0,0
Alt1a,20,100,0,0
Alt1b,50,100,0,0
Alt1c,100,100,0,0
Alt2a,20,100,20,100
Alt2b,50,100,20,100
Alt2c,100,100,20,100
Alt3a,20,100,100,100
Alt3b,50,100,100,100
Alt3c,100,100,100,100
Alt3d,100,20,100,100
Alt3e,100,10,100,100
Alt3f,100,1,100,100
Alt3g,100,0,100,100
Alt3h,100,0,0,0
